"Amb17616251";"OC[C@H]1O[C@H](C2[C@H]1OC(O2)(C)C)n1cnc(n1)C(=O)N"
"Amb17616257";"OC[C@H]1O[C@@H](C2[C@H]1OC(O2)(C)C)n1cnc(n1)C(=O)N"
"Amb17616284";"OC[C@H]1O[C@H](C([C@H]1O)O)n1ncnc1C(=O)N"
"Amb17619923";"OC[C@H]1O[C@@H](C([C@H]1O)O)n1cnc(n1)C(=O)N"
"Amb17619924";"OC[C@H]1O[C@H]([C@H](C1O)O)n1cnc(n1)C(=O)N"
"Amb17619925";"O[13CH2][13C@H]1O[13C@H]([13C@H]([13CH]1O)O)n1cnc(n1)C(=O)N"
"Amb17619926";"OC1C(COP(=O)(OP(=O)(O)O)O)OC(C1O)n1cnc(n1)C(=O)N"
"Amb17619927";"OC1C(O)C(OC1n1cnc(n1)C(=O)N)COP(=O)([O-])[O-].[Li+].[Li+]"
"Amb17619928";"OC1C(COP(=O)(OP(=O)(OP(=O)(O)O)O)O)OC(C1O)n1cnc(n1)C(=O)N"
"Amb17619932";"OCC1OC(C(C1O)O)n1cnc(n1)C(=O)OC"
"Amb17621280";"OC[C@H]1O[C@H]([C@H](C1O)O)n1cnc(n1)C(=N)N.Cl"
"Amb17621281";"O[13CH2][13C@H]1O[13C@H]([13C@H]([13CH]1O)O)n1cnc(n1)C(=N)N.Cl"
"Amb19133813";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@@H](CO)[C@@H](O)C1O"
"Amb1966618";"O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc(n1)C(=O)N)COC(=O)C(C)(C)C"
"Amb24182507";"CC1(C)OC2C(O1)C(OC2CO)[n]1c[n]c([n]1)C(N)=O"
"Amb25065295";"NC(=O)c1[n][n](c[n]1)C1CCCCO1"
"Amb2608862";"OCC1OC(C([C@@H]1O)O)n1cnc(n1)C(=O)N"
"Amb26536467";"NC(=O)c1[n][n](c[n]1)C1CCCO1"
"Amb2719673";"OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N"
"Amb2745408";"OC[C@@H]1O[C@@H]([C@H]([C@H]1O)O)n1cnc(n1)C(=O)N"
"Amb33825548";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](O)[C@H]1O"
"Amb33825549";"CC(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n]1c[n]c([n]1)C(N)=O"
"Amb33825707";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O"
"Amb33825708";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O"
"Amb33828957";"CCCCO[C@H]1[C@@H](OCCCC)[C@@H](O[C@@H]1COCCCC)[n]1c[n]c([n]1)C(N)=O"
"Amb33829277";"[H]/N=C(\N)/c1[n][n](c[n]1)[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O"
"Amb33834778";"[H]/N=C(\N)/c1[n][n](c[n]1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"
"Amb33836345";"OC(=O)c1[n]c[n]([n]1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"
"Amb33836361";"N[13C](=O)[13c]1[n][n](c[n]1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"
"Amb33836362";"NC(=O)c1[n]c[n]([n]1)[C@@H]1O[C@H](COS(N)(=O)=O)[C@@H](O)[C@H]1O"
"Amb33836363";"CC(=O)O[C@@H]1[C@@H](COC(C)=O)O[C@H]([C@@H]1OC(C)=O)[n]1c[n]c([n]1)C(N)=O"
"Amb33852228";"CC(=O)O[C@@H]1[C@H](OC(C)=O)[C@@H](COC(C)=O)O[C@H]1[n]1c[n]c(C#N)[n]1"
"Amb33853602";"NC(=O)c1[n][n](c[n]1)[C@H]1C[C@H](O)[C@@H](CO)O1"
"Amb33921149";"[Na+].[Na+].[Na+].NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])(O)=O)C(O)C1O"
"Amb33921263";"CC1(C)OC2C(O1)[C@@H](O[C@@H]2CO)[n]1c[n]c([n]1)C(N)=O"
"Amb33927553";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)C(O)C1O"
"Amb33928178";"NC(=O)c1[n][n](c[n]1)[C@H]1O[C@H](CO)C(O)C1O"
"Amb33928305";"NC(=O)c1[n]c[n][n]1[C@@H]1O[C@H](CO)C(O)C1O"
"Amb34895187";"Cl.NC(=N)c1[n][n](c[n]1)[C@@H]1O[C@H](CO)C(O)C1O"
"Amb34905999";"CC1(C)OC2C(O1)[C@H](O[C@@H]2CO)[n]1c[n]c([n]1)C(N)=O"
"Amb34906306";"CC(=O)OC1C(OC(C)=O)[C@@H](COC(C)=O)O[C@H]1[n]1c[n]c(C#N)[n]1"
"Amb34915276";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O"
"Amb34923908";"Cl.NC(=N)c1[n][n](c[n]1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"
"Amb35755541";"NC(=O)c1[n][n](c[n]1)[13CH]1O[13CH]([13CH2]O)[13CH](O)[13CH]1O"
"Amb35791974";"NC(=O)c1[n][n](c[n]1)[13C@@H]1O[13C@H]([13CH2]O)[13C@@H](O)[13C@H]1O"
"Amb35795440";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O"
"Amb35795447";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O"
"Amb35796525";"CO[13C](=O)[13c]1[n][n](c[n]1)[C@@H]1O[C@H](COC(C)=O)C(OC(C)=O)C1OC(C)=O"
"Amb35797982";"COC(=O)c1[n][n](c[n]1)[13C@@H]1O[13C@H]([13CH2]OC(C)=O)[13C@H](OC(C)=O)[13C@H]1OC(C)=O"
"Amb35802672";"NC(=O)c1[n][n](c[n]1)[C@@H]1C[C@@H](O)[C@H](CO)O1"
"Amb35806378";"CC(=O)OC[C@@H]1O[C@@H]([C@H]2OC(C)(C)O[C@@H]12)[n]1c[n]c([n]1)C(N)=O"
"Amb35816457";"CC1(C)OC2[C@@H](O1)[C@H](O[C@H]2CO)[n]1c[n]c([n]1)C(N)=O"
"Amb35817064";"COC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](CO)[C@H](O)C1O"
"Amb35818428";"[Li]OP(=O)(OC[C@@H]1O[C@@H](C(O)[C@@H]1O)[n]1c[n]c([n]1)C(N)=O)O[Li]"
"Amb35818431";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@H](O)C1O"
"Amb36281808";"Cl.NC(=N)c1[n][n](c[n]1)C1OC(CO)C(O)C1O"
"Amb36282046";"OC(=O)c1[n]c[n]([n]1)C1OC(CO)C(O)C1O"
"Amb36282640";"NC(=O)c1[n]c[n][n]1C1OC(CO)C(O)C1O"
"Amb36286055";"NC(=O)c1[n][n](c[n]1)C1OC(COC(=O)c2ccccc2)C(O)C1O"
"Amb36287909";"CC(=O)OC1C(OC(C)=O)C(COC(C)=O)OC1[n]1c[n]c(C#N)[n]1"
"Amb36292078";"Cl.NC(=N)c1[n][n](c[n]1)[13C@@H]1O[13C@H]([13CH2]O)[13C@@H](O)[13C@H]1O"
"Amb36292190";"NC(=O)c1[n]c[n][n]1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"
"Amb36293931";"NC(=O)c1[n][n](c[n]1)[13C@H]1O[13C@@H]([13CH2]O)[13C@H](O)[13C@@H]1O"
"Amb37787142";"[Li+].[Li+].NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O"
"Amb37856126";"NC(=O)c1[n][n](c[n]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O"
"Amb37859122";"NC(=N)c1[n][n](c[n]1)C1OC(CO)C(O)C1O"
"Amb37862291";"NC(=O)c1[n][n](c[n]1)[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O"
"Amb38138722";"CC(=O)OC1C(COC(C)=O)OC(C1OC(C)=O)[n]1c[n]c([n]1)C(N)=O"
"Amb38139559";"CC1(O)C(OC(CO)C1O)[n]1c[n]c([n]1)C(N)=O"
"Amb38159149";"NC(=O)c1[n][n](c[n]1)C1CC(O)C(CO)O1"
"Amb38160865";"COC(=O)c1[n][n](c[n]1)C1OC(COC(C)=O)C(OC(C)=O)C1OC(C)=O"
"Amb38161893";"NC(=O)c1[n][n](c[n]1)C1OC(COP(O)(O)=O)C(O)C1O"
"Amb38164021";"N[13C](=O)[13c]1[n][n](c[n]1)C1OC(CO)C(O)C1O"
"Amb4490256";"COC(=O)c1ncn(n1)[C@@H]1O[C@@H]([C@H]([C@H]1OC(=O)C)OC(=O)C)COC(=O)C"
"Amb533332";"OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc(n1)C(=O)N"
"Amb8387103";"OC[C@H]1O[C@H](C([C@H]1O)O)n1cnc(n1)C(=O)N"
"Amb8397616";"OC[C@H]1OC([C@H]([C@H]1O)O)n1cn[13c](n1)[13C](=O)N"
"Amb8605676";"OC1C(O)C(OC1n1cnc(n1)C(=O)N)COC(=O)C(C)(C)C"
"Amb9794503";"CC(=O)OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N"
